123,122,141,143
100,101,124,147
75,30,31,88
32,57,4,33
74,30,88,89
88,74,152,153
30,88,96,97
94,38,150,151
22,23,135,137
52,53,94,131
36,37,125,146
5,65,45,6
51,50,108,127
86,42,87,91
70,112,113,162
44,65,5,64
49,10,48,84
94,54,95,130
2,3,58,141
49,48,83,84
20,53,21,94
176,76,178,179
102,92,103,148
16,80,90,91
118,110,124,125
100,101,108,166
80,81,102,149
38,39,94,105
61,60,106,137
134,122,140,141
86,24,90,91
110,168,174,175
55,54,98,114
11,10,84,131
46,47,139,153
36,128,170,171
112,78,166,167
92,93,103,148
52,94,130,131
80,40,81,149
78,79,108,127
138,46,139,153
116,38,117,121
118,36,170,171
78,108,126,127
102,42,164,165
68,2,69,140
123,122,134,141
18,48,82,83
66,24,86,87
32,33,105,145
122,134,135,137
4,57,7,33
22,134,136,137
94,54,130,131
24,64,90,91
102,92,148,149
40,16,80,81
50,108,109,158
3,2,68,141
164,118,170,171
44,65,45,5
43,42,86,90
39,38,94,151
62,110,168,169
100,160,161,166
96,78,132,133
88,89,138,152
42,86,90,91
44,16,90,91
116,38,128,129
96,78,97,126
102,42,103,164
41,16,40,81
16,41,17,81
42,80,102,103
82,88,138,139
50,82,88,89
124,36,146,147
33,14,32,105
18,49,48,83
80,102,148,149
92,93,117,129
108,100,158,159
32,57,56,4
50,51,82,89
32,14,104,105
101,100,108,159
84,10,130,131
10,49,11,84
46,138,152,153
14,33,15,105
36,118,119,124
100,101,147,159
20,52,94,95
72,73,97,133
86,66,176,177
79,78,96,127
60,106,107,179
55,54,85,130
16,45,44,90
134,22,135,137
58,134,140,141
36,37,99,151
38,94,104,105
99,98,115,158
113,112,142,157
38,116,120,121
78,132,162,163
88,96,97,126
106,76,174,175
108,78,109,167
118,110,119,124
36,37,118,125
107,106,136,173
38,39,128,151
96,72,97,133
98,54,99,115
78,79,132,163
49,18,19,83
53,10,11,131
138,88,152,153
43,42,81,102
36,98,146,147
100,62,110,111
112,78,162,163
79,78,112,163
42,43,154,165
34,14,120,121
82,83,88,139
106,60,178,179
10,48,84,85
113,112,160,167
28,140,142,143
110,100,111,124
106,76,107,179
76,77,86,177
98,54,150,151
36,118,124,125
8,34,116,117
65,44,45,90
54,98,99,151
38,128,150,151
62,100,160,161
54,84,130,131
42,154,164,165
48,82,84,85
82,84,114,115
44,65,64,90
48,82,83,84
8,40,148,149
123,122,156,173
64,44,90,91
122,123,136,173
76,86,176,177
111,110,119,155
45,16,17,90
82,18,83,139
30,31,88,97
30,73,31,97
24,86,87,91
67,24,25,86
24,67,66,86
80,42,90,91
17,16,81,90
98,99,146,158
9,8,116,149
50,82,83,88
30,75,74,88
40,41,81,149
24,25,86,90
106,60,136,137
42,43,81,90
80,42,81,90
16,80,81,90
18,19,83,139
65,24,64,90
168,106,169,174
24,65,25,90
34,35,116,120
82,83,84,115
122,136,137,172
21,20,94,145
116,8,148,149
14,104,120,121
140,122,142,143
41,8,9,149
30,88,89,96
53,20,52,94
108,50,126,127
96,78,126,127
51,50,114,159
88,138,139,153
37,36,128,151
72,30,96,97
73,30,72,97
92,116,148,149
71,70,113,162
84,54,114,115
54,98,114,115
50,108,158,159
84,54,85,114
78,108,166,167
42,86,87,155
107,106,168,175
62,100,101,111
42,80,81,102
156,122,157,172
94,20,144,145
110,100,124,125
101,100,161,166
38,94,95,104
134,122,136,137
59,22,23,135
104,94,144,145
67,66,86,177
176,76,177,178
76,106,178,179
57,32,56,145
60,12,178,179
70,28,142,143
32,57,33,145
52,94,95,130
104,32,105,145
94,104,105,145
156,62,160,161
98,146,147,159
78,108,109,126
78,79,96,132
86,42,154,155
51,50,82,114
50,51,89,127
62,63,100,110
132,26,133,162
62,63,110,169
112,156,160,161
78,96,97,133
100,62,101,161
82,84,85,114
70,112,162,163
54,55,98,150
146,98,158,159
38,116,117,129
92,102,170,171
54,55,85,114
26,70,162,163
106,168,172,173
38,39,105,120
50,82,114,115
82,50,83,115
104,38,120,121
116,34,120,121
35,8,34,116
8,35,9,116
63,62,157,172
39,38,116,120
34,116,117,121
128,36,150,151
15,14,105,120
14,104,105,120
104,38,105,120
164,102,165,171
62,156,157,172
128,92,170,171
35,14,15,120
14,35,34,120
160,112,166,167
168,62,172,173
2,58,140,141
112,70,142,143
122,140,141,143
100,101,111,124
140,28,141,143
110,111,119,124
36,98,99,146
108,50,109,126
28,68,140,141
106,107,168,173
68,2,140,141
100,160,166,167
100,124,146,147
54,94,150,151
79,78,108,166
42,43,86,154
38,39,116,128
88,96,126,127
88,89,96,127
88,50,89,127
50,88,126,127
84,10,85,130
54,84,85,130
54,55,95,130
132,26,162,163
116,92,117,129
43,42,102,165
92,116,128,129
122,142,156,157
10,52,130,131
10,53,52,131
136,106,172,173
122,123,134,136
73,26,27,133
26,72,132,133
26,73,72,133
72,96,132,133
142,112,156,157
134,122,135,140
106,60,107,136
22,58,134,135
22,59,58,135
58,134,135,140
82,88,89,138
75,74,88,153
59,58,135,140
0,47,46,153
22,61,23,137
60,22,136,137
61,22,60,137
69,28,68,140
70,71,113,142
18,47,19,139
46,18,138,139
47,18,46,139
0,46,152,153
18,82,138,139
28,69,29,140
112,70,113,142
2,58,59,140
29,28,140,142
156,62,157,160
71,28,29,142
100,124,125,146
50,51,108,159
28,71,70,142
94,95,104,144
94,20,95,144
146,100,147,159
98,114,158,159
37,36,99,146
124,36,125,146
57,20,21,145
20,56,144,145
20,57,56,145
32,104,144,145
56,32,144,145
93,92,117,148
116,8,117,148
92,116,117,148
128,36,129,150
38,128,129,150
80,102,103,148
55,54,95,150
94,38,95,150
54,94,95,150
8,41,40,149
40,80,148,149
123,122,143,156
88,74,89,152
98,36,99,151
36,98,150,151
154,118,164,165
122,136,172,173
77,76,86,154
47,0,1,153
0,75,1,153
74,0,152,153
75,0,74,153
122,142,143,156
142,112,143,156
76,86,154,155
86,76,87,155
110,118,119,155
118,110,154,155
108,100,109,158
78,112,113,167
156,122,172,173
114,50,115,158
98,114,115,158
113,112,157,160
63,62,100,160
154,76,155,175
112,156,157,160
