2,3,22,39
16,47,5,46
18,19,31,45
16,24,25,32
23,22,26,38
20,49,48,8
16,47,17,5
18,19,26,31
0,44,37,36
0,43,42,45
30,14,38,39
16,24,32,33
9,8,21,33
11,45,40,10
18,24,25,27
40,18,41,44
12,47,24,46
14,28,38,39
20,35,34,4
26,30,31,38
12,24,26,27
19,18,21,40
18,26,30,31
8,20,21,33
24,12,25,27
4,35,7,21
24,18,26,27
18,26,27,30
20,18,21,33
18,19,21,33
15,14,30,39
18,20,40,41
16,17,24,33
22,12,26,27
20,35,4,21
35,20,10,21
40,18,44,45
20,49,8,21
49,20,4,21
24,18,32,33
13,12,24,26
20,49,4,48
19,18,24,33
10,35,21,11
18,19,24,26
26,22,27,39
23,12,13,26
12,23,22,26
11,45,10,43
22,26,38,39
29,14,15,39
1,45,0,36
26,30,38,39
26,27,30,39
14,29,28,39
2,22,38,39
16,47,24,17
24,18,25,32
30,14,44,45
43,10,42,45
20,35,10,34
17,8,9,33
18,20,32,33
8,16,32,33
8,17,16,33
20,8,32,33
14,15,30,44
20,10,40,41
30,14,31,38
30,18,31,45
20,10,21,40
5,47,17,6
18,20,21,40
14,30,31,45
21,10,11,40
2,22,23,38
10,44,40,41
8,49,9,21
2,29,3,39
28,2,38,39
29,2,28,39
19,18,40,45
10,44,42,45
44,10,40,45
1,45,43,0
12,24,25,46
12,47,13,24
0,44,36,45
37,14,36,44
14,36,44,45
4,49,21,7
14,37,15,44
47,16,24,46
24,16,25,46
44,0,42,45
18,30,44,45
